index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxASEhUSEhESFRUWGBMVFRYSFhMVFRUTGBUaGBcWExUaHCggGBolGxYVITEhJSkrLi4uFx8zODMsNygtLisBCgoKDg0OGxAQGyslHx8tLS0tLi0tLTAtLS8tLS0tLS0rLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLf/AABEIAOEA4QMBEQACEQEDEQH/xAAcAAEAAgMBAQEAAAAAAAAAAAAABQYDBAcCAQj/xABCEAACAQIDBAYGCAQEBwAAAAAAAQIDEQQFIQYSMUEiUWFxgbEHEzKRocEUIzNCYnKy0VJzgpIWJKLCFUNUg7PS8f/EABsBAQADAQEBAQAAAAAAAAAAAAABAgMEBQYH/8QAMhEBAAICAQIEAwYGAwEAAAAAAAECAxEEITEFEhNBIjJRBhRCYXGhFSMkM4GxNGKRUv/aAAwDAQACEQMRAD8A7iAAAAAAAAAAAPgFWzna6MJOnRSk1o5vWKfUkuJpXHHeUbQrzmvUd5VJeD3V4JGtawrMvSm78eJdVuUptaRlJPjo2hOpRDawud1YPpPfXU+PgzG1I9l4lZMHi4VYqUHdcO1PqZjMaXbAAAAAAAAAAAAAAAAAAAAAAAAAAjtoK7hhq04uzjTm0+2xNe5DkmB5dqb8/wBjohNuiWw70/uLRDKW8uK8PIDep+14fMmUQwy5mcrQmtkpWnVj1qMl5P5GVoWWYokAAAAAAAAAAAAAAAAAAAAAAAAIja1/5Ov/AC5FqfMOV4D7vdPzZ16LSl8LHRd7DNvxg7rw8iBvwh0vD5kIYKkePj5lLLwlNmXatJdcX5xM7dkrSZpAAAAAAAAAAAAAAAAAAAAAAAACr7RZ3RqUq2Hpvfm4uLatuqT0s5dhtjxT3VtbSiYajuaPirr3tm+9ImdpTCvX9iNo02qb14siRuUuHP3smES9zp6aFZTEsuU4tUqu9JaWaduXDW3gUtG4St9OopJNO6eqfYYT0XegAAAAAAAAAAAAAAAAAAAAAAEPtbipUsHXnF2ahZPqcmo/MtSOpty3I8zp0r77487XN5y1qWrt6eOUpvcjKV3yVl4tmc5Zn5YRFW/Q9dyjFd7Jick+xOm3Sp1m9ZQt2X4jy5J90bq2F9IXOD95GssI3WXqOJrrV00+5lfNkjvC2qsUMfFuzTi+0j1Y9+ifKuWy870FrwlJLuuRbqhLkJAAAAAAAAAAAAAAAAAAAAAAILbbA1a+DqUqMd6ctyyuldKabtfsRak6naJcYzKk8LU3cTHcaUZbjtfXhoi17QtG5fKe0kn9nSsuTn0V4Ijz27RB5fq2sNnNeT+0hG/VG9veXrjyW91ZmtW9HGVb29e/CKNPu8/VT1I+iRpTrW0xEvGKaKThtHut54+g8xxEeMqcu9OLKWrkr12mJrL0s5p1OhVg4t8Ho1flZoxtk380L+V0DZCju4aOt95yl4XsvIt7KpoAAAAAAAAAAAAAAAAAAAAAAB8A/P3pYxFOWZzcJ77jGCl1Rmk04ru097LNccK5Qu+03pCL9IT+UYVyZ1Vhx2TNPCWlYmVYTdHDaIxmWjDiaBFtaTCBxtNwlo9DktWNNol1PYPMI1cJCK9qn0JLt4p9zRTWoRvqsZIAAAAAAAAAAAAAAAAAAAAAARm0uZrC4WtXf3INrtk9Ir3tE1jckvy3PESqVJTk25Sk5Sb1bbd2zXTTzahNYCi+ZrVna21y2cw/RvzNtueW4kpSvfW4mehWFhweGbSOebtdPuJwmlrDzkQrOc4SyMd7lfTZ2FzF0cTBX6FX6uS5X13H7/Mzt3HWkSAAAAAAAAAAAAAAAAAAAAAAFD9M+I3cucf46lNe68vkXp3RMOAYd6pGkyLXg0lEzrfqaWbI43Wh1QylsRj9b4k3+VNF0wPBHHLZ8xab4j2Qr+0Hs9xSnde3ZXKc7LeXGLjLxTuL9JViNu30pXin1pP3koewAAAAAAAAAAAAAAAAAAAAAKF6ZqSlgL9VSHxTRavccGoR1WheeyFnwkeic9PmTtatmJcrHoQxtLcxkN2stOotf5SkrdgI9FaHFLd9xVrMQhW8+XQKU7r27Ky10ZFMvdFXb8J7EPyx8jSFWUAAAAAAAAAAAAAAAAAAAAACm+lqnvZbV7JUn/rS+ZMb2PzxCvBSV5xXijf07THRG07h88w0YWdX3KT8kVxcPL5to88JfK9r8LSatKcub3YPT32O+OLkZTaHvMtv8I6ilGNZ2tfoxX+42+6XmCs9VsyXb2hU0p0q82leyVPTvvM4MvFmvWZdFerFmXpIwsG4zo4hSulu2hfhx9rgWpxLWjcKWt5Z6ovPttMN6unJwq2mm1pHgnZ36XYVx8K82mI9lrXiIiUXlme4evL1cN/ee7ZSjbj2mXI4WSnUpkiXfsMrQivwx8jnj8xlJAAAAAAAAAAAAAAAAAAAAAFR9KmH9ZltaN7a09exTRpi15o2id+z88YbZuD4rES/LCMV75M6/wCI8fHHxWg9HLPWKpfDbJ02vsK7/NVpR8rmdvHeHX8a33XNPtX90ngtlKavbC/3YiXyiUn7RcT6ymeFm/6/u+rZCn/0lLxxNf5IpP2n4sfX9lo4Gb/6hIZbs4qUrww2Hi+F1WxDZlk+0nFvGpi37NK8TLX8cf8AjPiNm4zacsNhm+tzr395Sv2j49ekRb9ieJknvZ7zTZ2E6dOLw2He4pJL1ldWTd9LEYvtFx6WmdW6/om/EvMa80MWR7OUaVaMnQUH0XGVOrUmrx1tJS7Lnbi8XxcvdK76Oa/Hvi67jTuOH9mPcvI5hkAAAAAAAAAAAAAAAAAAAAAArvpAhfAV+xQfunET2k93IsHE+TzdbS9OvSNJjDrQ5LNIbtFcSNpeooptPdnpoRIzbokeJ8C2kPFD249/yZ6/g0/z+nvDk5n9p0zC+xHuXkfROKGUAAAAAAAAAAAAAAAAAAAAACE21hfA4hfgb9zT+RMIcfwSPks/SZerXsmaEdDjt3XhtUY8SqWWMSqWWnEQllaJgeZR0J2qxwXSj3o9XwX/AJEf5cvN/tulYX2I/lj5H0rhZQAAAAAAAAAAAAAAAAAAAAAIvainvYPELrpVP0stXui3Z+fp7TUqFX1U4Tv0dVa2qT678zx58JyZ6zlrMa69HZHIivTTNjNpsPCc4+sxMGpNPcUXF200TfDQvh8E5F6xMREqTy4idTtv18/w9OnSqPEYhqpGUoxiley6L3vEyw+D8nJktSKRGl7cmtaxPXq85RtFhcRUjRVfFKUk93esk5W5NcHZMvyvBOXx6erNazEIpya2nU7atbbfB793TxMne1t6CTst3r8e86MX2c5NqRPmr1/L69VbcysdNT0SNXazD/R3X9VVd5KgoSmrtRW/du2ntdXJGUfZ/N6/pTaO29n334PNEMeB293/AFkZYZwcaVWpG829504uVn0Vo916l832aikRaMm92iJ1+ZTl36xaqx5Lj3XoUK7ioupZtJ3S1atc5uHxvu/iPpV6xG/9Lci034+5dVwP2cPyx8j2Z7uSOzOQkAAAAAAAAAAAAAAAAAAAABpZ0r4et/LqfpZavdE9n5mxuW4ivWq06O401RlJTsnw0cXbTgYY+Vg49InJM+7fyXv2Y8Rha7njY06VKcYt+slNRcoLdetNvVPjwPQxZsPlx2vaY321Pfr7sYpfdogwu5J5amrxe/Galw+2e8u43t6lY5Ex3iI1o+H4ErnWGpUs3wqowhCL9S7U0kruck9FztY4ODky5fC8s5JmZ69/0b5PL68eV92pxVCtXWCwlPDw6X1tbdhFJrVpS5Ja3fPgR4Rh5GDj/eeRa06j4a7RyMtb28kaZds8Fh6OEw0KEoyUarUpRablU3E25Nc7L3WJ8Jz8jk8nLbJGpmJ1CvJikUjyz2fNpsxoYnFp0JqcVhcVFuKaS+qqPn3l+Bx83HwTGXp8ca3+pe8ZL7r9Ej6Ps3lUp0qHqZKNJR+sd92UnUWi0twfWZ8jh0x8/wBeL7m2+n+FbWvOGazHSHdstlelB/hRExqVI7NkhIAAAAAAAAAAAAAAAAAAAADWzKN6NRdcJ/pZNZ1KJ7OKZXBJ3sr2im+fDTU+W50z6k129PF0rDZhlFGCxM1v/XxfrLdL7rXQXX0noRPPy29Ok/gnoenXrMe6Bq7L4SdGlSWIqJ03UcZunLWM9XFqx7dPHM1M9sk0jVojcb+jC3GxzHlj2fMj2Qw1CrCu8TKooTVoqlJdNJtOXOyte/Yacv7Q5c2Ocdcetx9SnGpE+bbG9h8JKeuKqtybdo0Xpd36tF2mlPtLmrSK+nGoj3mD7rj99p7LdlcFKjLDOOIlFzVXeqRlStLdUejKy5cjy+R45yvVjNTXTpqF68fF5ZiISeXZDl+Gb9XGnGUk4tznvSaf3ek3x6jj5XifO5EfHM6j6doaVpir2hKVYqO4kkkpU7JaJdNcivhWW1uZWbde/wDpHL16MxC95L9jDufmz6q0amXnR2bxUAAAAAAAAAAAAAAAAAAAAAYsUrwkvwy8iYRLgmPX1VRLs4fI8Std8+ImNxt15LT6E6+iEwtetFbu9OPZqnqfcR4VxL9Zxw+Xvy81J6WltxrYtaqdRK9uMkV/gvBt+FaPEM9Y7s9DEYuX/Nqf3S/cT4FwI/Cj+J8ie0tqcMStfWTu7K92TTwjgxGvJDO/iHJj8Uvf0GtLWc5PvZtHh/CpHw44ZTyuTfvaXnC4ZqpF3ejv8DLxTBhpwsk0rHafZPBz5LcqkWme674vS35qf64n5r4VP9XT/L7jk/25XnJfsY/1fqZ9df5peXHZvFUgAAAAAAAAAAAAAAAAAAAAPkuDA4PjVu79uT8pHizERz67n3dV5/p5/RGqpOpKMrXaXHuP0etY1qHxV5tvcrVgcPGtKLm2tEne7ucWXJbF2deCtcnzJ15JSg009OqyueJzPHYwRMW7vTxeHRaejK8votcJaa8Ynjx9qcm9+To6p8JpPuTypNXjr19fij2/D/F8fK7dJcmfw+adNIjMsCoRk7apSfwO7nZZtxckflP+nHgwRXPSfzhI49dHxj+pH514bOuVWfzfW5/7Urrkcr0l3z/Uz7PL88vLr2SBmkAAAAAAAAAAAAAAAAAAAAAA4ZmytOquqb+FQ8Lkz5OZ5vo64j+TO/oxZR6iTVt33pH0H8f8tfjiYfORxqTbe1vy9UE9Errlf5HJyPHcfpWmJd+Hi1i0dG2q+uqvfrei/c+IvebzNrTt7sRGtN6NWpa948OFkr9nA0jkX13hnMUrL7QrRWrumuStZp68ORvwuRTFki8zMSrmiZjp1RudYuk6dRKOrhNK75uLPey+NzkpOOK9J6bedXDSLxMz7seO+zv2fseH4fOuVX9Xr5o3ildciX1S75eZ9vm+eXk07JAyWAAAAAAAAAAAAAAAAAAAAAGBw/aJWrYhdU6n/kZ4XM/5LsjfozHfopWLxyU1Dds+jvaWktFwOzBi3Wbd3zd8c73Kz4XFS+qcVVcb3VXW9PsfXF80eXlxx8UW1v6OvBa86mFvp5hGKu7e1uaa2bbbf5ba+B484bTOoejGeNdWeWPnf2qagldXblOXb1R+JFcNe2p3+yts892DF5tHdavZ27Wb4+Lbal+fXy6QVfE1Jt21XNKP3ebvyPSpjx1jr3efTLe+SsxvW1qrJOl/SvI8/hT/AFNf1fTZf7c/oueSL6pd8vM+6zfPLx6fLDfMlwAAAAAAAAAAAAAAAAAAAAADj20tNfTa65b749qTfmfP+JbjLuHfg+RryymhU1lBX5Pj53R51eTlp0iWtsNLd4btLLkklCbilwSSt8LGU5+u7R1V+7Y+z1Tymzb3o9LR3U9Vw/j6vkVnkfSFPuWPu2lll9W46/hl/wC5WOTr2RPBx/RlhlVPx7IwXmmPvNl44mKPZuQwNNK1r8+k3Je56FJzWltXHWvZ5xnsS7E/Ivxbaz0/WE5I+GVwyN/VW6m/JP5n3+aPjl4mPskTJcAAAAAAAAAAAAAAAAAAAAB8YHHtsFfHV0pOKUrtrjfciZRx8WS0zkj2bU82oiPdr5bipWjv3alom1Zxf8M18zyud4VWaTlw+3s64yWpbyWbdbNIwm4b0b2TScZ34cbpM8enH89YnTab9WxRzVNOV6W6t2735Li0o6OPO+ngZX4sxOupFm3LNqEWk5pN73KWu7x5f/TOONkntCfPD7UzenG1o1JXUX0IN8ZOOrfDWL9wrxbzPseaHmpm07XVLdj/ABTlbu6NrvtXHsfPWONHbfVWbPlOUpKpJuT6HB2Sva7cVxt2tItjrEZKaj3hNutZ19F5yCV4SXVL/bE+5zR8Tw8fZKmTUAAAAAAAAAAAAAAAAAAAAAYHAttcx9VmmJhU9lyi4u9nfdi9Hwv32TOuvHtfy3rPt1j6qxlmk9ezZyrFRnNx9ZDW0rTvGbelnZuz4LhocfM5H3elt453P/jprvLNfiS+Ko3k0291qK7Fzuk4tcj46L6jrHV6Hl/Ni3aadt5OP3lahZvV3d1x1sTN51+f+UabDhDevG0VdaJULPr1s3rw8SsXnXWf9mmeOGb4b8uC3XKpuJdVoxS+JFbTvp+xqI7vVStSpaSlGLd7Rit6o9Er7sby+J04uHyORP8ALpM/spOWlFaz3bKjRbjBXk3ZwunOT6pbulNN2vduTV1pxPqfC/s1aloy8ifz04ORzJtGqOnejzGTrYRVaitOT6ata0t2LenLidXLmPUmK9nNirqOq0HO1AAAAAAAAAAAAAAAAAAAAAAOFekjKoVswrKd17LTXFXgved2DJNaqWruVFxOUYyhdUpKpB67tlJeNOV17jppy8c9LrRgnXQw+0mJo6Soyjb+B1qP+lPd+AvwuFm7xH+EbyUnpMt7/HtX+Kv4VYPzpifAeDb8P7nr5vqy/wCP6z4PEPvqwj+mmmKfZ/gR18v7qznze8vn/HMbXVoYWc2+tYnEP+1ycfgdNPDuFi9q/sz8+S3vKSwWyGc4pbk19GovippUk/8AtQV34mluZxsPyRv9E1wzPeUpg9jMPg9ftaq+/JWSfPcjy8bs83keIXy9PZ0+lEQ6X6OW/o9T+bL9ETz7qLYiqQAAAAAAAAAAAAAAAAAAAAADke30P8/N/hp/pOvFG6qz3VnEe0cWbu9LDHwpfJopyV1fvVxjtMF4SOc5Zh3a9GlrxvCH7HbGW8R0llSsT3bmzuW4dezQpJp8VTgvjYn1bz3lTJWIXairWSStbkY2mWLHUVmVt2Wqp2fQ6TKw0tG4T3o3b9TVXL1mnfuq/wAhZzreVAAAAAAAAAAAAAAAAAAAAABgc39ImXSjXVe3QnFRb6pxvo+9WOnDbppXXVz6pWvNs5Mvd6+KPhhO5LLpLwIoXjosOcR0R1+zGkM2z3zQUzQt9NaRfh7ysuZjnq0VsmFYzqg5T3YptvRJcX3Gbb8K27O5Z9HoRh953lL8z4+7ReBMuVKEAAAAAAAAAAAAAAAAAAAAAABhxWGhUi4TipRfFPgxEzA5znvo2km54We9z9XUev8ATP8AcrMbduHk1r0sg8PluIoTXraNSFnxcXb3rQmvR1TkraNxKbzKtCUY2afczo30Y0r1ZMjla92lwd212jauWFqji6W7becn1RTb+BWXL5WaFGrN3jHcXXU4+Ef3KzMI6Q28Fl0YPffSm+Mn5JckVVm0y3iFQAAAAAAAAAAAAAAAAAAAAAAB8AEoY8R7JC9O6oYn2pd7NfZ3U7MeF4gutmF5dxWXJZtGbKX0kfQAAAAAAAAAAAA//9k="
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2JQ-fAdtrzzmkSespqEpKwop3BnWntsLioVSgjy79mpxQVPSqoD4v9yfL0mtiFJvFnPqeE7EcefadhdEpc9uUTCZbROwOPsklL_XDMSLTpxOGvIcBMMFiBQ&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://agribegri.com/products/tapti-booster-500-ml--organic-fertilizer-online-in-india.php
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSW_S8Mrnq0lLnXWCSPPlONkrPbkB8C3Gy9613OGD0ZaejmP5UNRf8LFnXUYJTM64BC1VYLYcYSbSSv-qVTV15RzDJZipvzsikme8oHSEtVX_ZKDiUQpnbHPQ&usqp=CAE,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://plantic.in/products/organic-bloomdrop
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
